# Source: https://github.com/bahar/WorldCityLocations
Tlemcen, Algeria	34.8783333 -1.3150001
Mostaganem, Algeria	35.9333333 0.0902778
El Eulma, Algeria	36.1500000 5.6833334
Saida, Algeria	34.8333333 0.1500000
Guelma, Algeria	36.4661111 7.4338889
Bordj el Kiffan, Algeria	36.7475000 3.1930556
Ain Oussera, Algeria	35.4513889 2.9058332
Laghouat, Algeria	33.8000000 2.8833332
Ain Beida, Algeria	35.7963889 7.3927779
Baraki, Algeria	36.6691667 3.0952778
Oum el Bouaghi, Algeria	35.8775000 7.1136112
Messaad, Algeria	34.1666667 3.5000000
Barika, Algeria	35.3897222 5.3766665
Beni Mered, Algeria	36.5230556 2.8625000
Aflou, Algeria	34.1088889 2.1019444
El Khroub, Algeria	36.2633333 6.6936111
Rouissat, Algeria	31.9272222 5.3497224
Berrouaghia, Algeria	36.1366667 2.9130557
Ksar el Boukhari, Algeria	35.8855556 2.7508333
Khemis Miliana, Algeria	36.2622222 2.2180555
Azzaba, Algeria	36.7394444 7.1052780
Tamanrasset, Algeria	22.7850000 5.5227780
Ain Touta, Algeria	35.3766667 5.8961110
Cheria, Algeria	35.2730556 7.7519445
Birkhadem, Algeria	36.7127778 3.0616667
Chelghoum el Aid, Algeria	36.1594444 6.1650000
Sidi Aissa, Algeria	35.8913889 3.7711110
Larba, Algeria	36.5666667 3.1500001
Mila, Algeria	36.4502778 6.2644444
Bir el Ater, Algeria	34.7333333 8.0500002
Sougueur, Algeria	35.1913889 1.4983333
Ain Fakroun, Algeria	35.9763889 6.8755555
Tolga, Algeria	34.7166667 5.3833332
Es Senia, Algeria	35.6511111 -0.6341667
Bir el Djir, Algeria	35.7200000 -0.5450000
Akbou, Algeria	36.4611111 4.5333333
Besbes, Algeria	36.7022222 7.8472223
Sidi Khaled, Algeria	34.3833333 5.0000000
Ain Sefra, Algeria	32.7500000 -0.5833333
Frenda, Algeria	35.0619444 1.0422221
Bougara, Algeria	36.5405556 3.0852778
Hamma Bouziane, Algeria	36.4130556 6.5974998
Reguiba, Algeria	33.5666667 6.7166667
Meftah, Algeria	36.6194444 3.2252779
Oued Rhiou, Algeria	35.9633333 0.9136111
Boufarik, Algeria	36.5705556 2.9108334
Sig, Algeria	35.5277778 -0.1952778
Ksar Chellala, Algeria	35.2122222 2.3188889
Sidi Moussa, Algeria	36.6044444 3.0902779
Ras el Oued, Algeria	35.9461111 5.0327778
Lakhdaria, Algeria	36.5622222 3.5944445
Drean, Algeria	36.6838889 7.7463889
Reghaia, Algeria	36.7422222 3.3413889
Boghni, Algeria	36.5422222 3.9530556
Dar Chioukh, Algeria	34.9000000 3.4833333
Sedrata, Algeria	36.1288889 7.5280557
Djamaa, Algeria	33.5333333 6.0000000
Mansoura, Algeria	34.8650000 -1.3466667
Telerghma, Algeria	36.1152778 6.3641667
Remchi, Algeria	35.0611111 -1.4261111
Birine, Algeria	35.6350000 3.2249999
Sour el Ghozlane, Algeria	36.1502778 3.6891668
Metlili Chaamba, Algeria	32.2666667 3.6333332
Khemis el Khechna, Algeria	36.6486111 3.3305557
Timimoun, Algeria	29.2500000 0.2500000
I-n-Salah, Algeria	27.2166667 2.4666667
Touggourt, Algeria	33.1000000 6.0666666
Merouana, Algeria	35.6286111 5.9116669
Kerkera, Algeria	36.9291667 6.5855556
El Hadjar, Algeria	36.8047222 7.7383332
Beni Saf, Algeria	35.3036111 -1.3808333
Boudouaou, Algeria	36.7305556 3.4102778
Berriane, Algeria	32.8333333 3.7666667
Oued Fodda, Algeria	36.1841667 1.5327778
Bou Arfa, Algeria	36.4666667 2.8166666
El Attaf, Algeria	36.2247222 1.6727778
El Affroun, Algeria	36.4669444 2.6252778
`Ain el Hadjel, Algeria	35.6758333 3.8822222
Hennaya, Algeria	34.9513889 -1.3680556
Tazoult-Lambese, Algeria	35.4863889 6.2552776
Draa el Mizan, Algeria	36.5350000 3.8336110
Timizart, Algeria	36.8000000 4.2666669
Sebdou, Algeria	34.6425000 -1.3330556
Tebesbest, Algeria	33.1166667 6.0833335
Souma, Algeria	36.5183333 2.9052777
Los Angeles, United States	34.0522342 -118.2436829
Houston, United States	29.7632836 -95.3632736
Philadelphia, United States	39.9523350 -75.1637878
Phoenix, United States	33.4483771 -112.0740356
San Antonio, United States	29.4241219 -98.4936295
San Diego, United States	32.7153292 -117.1572571
Dallas, United States	32.7830556 -96.8066635
Detroit, United States	42.3314270 -83.0457535
San Jose, United States	37.3393857 -121.8949585
Jacksonville, United States	30.3321838 -81.6556473
Indianapolis, United States	39.7683765 -86.1580429
Columbus, United States	39.9611755 -82.9987946
San Francisco, United States	37.7749295 -122.4194183
Austin, United States	30.2671530 -97.7430573
Memphis, United States	35.1495343 -90.0489807
New South Memphis, United States	35.0867579 -90.0567551
Fort Worth, United States	32.7254090 -97.3208466
Baltimore, United States	39.2903848 -76.6121902
Charlotte, United States	35.2270869 -80.8431244
Boston, United States	42.3584308 -71.0597763
Milwaukee, United States	43.0389025 -87.9064713
South Boston, United States	42.3334312 -71.0494919
Seattle, United States	47.6062095 -122.3320694
El Paso, United States	31.7587198 -106.4869308
Denver, United States	39.7391536 -104.9847031
Washington, United States	38.8951118 -77.0363693
Oklahoma City, United States	35.4675602 -97.5164261
Nashville, United States	36.1658899 -86.7844467
Tucson, United States	32.2217429 -110.9264755
Albuquerque, United States	35.0844909 -106.6511383
New Orleans, United States	29.9546482 -90.0750732
Long Beach, United States	33.7669623 -118.1892319
Las Vegas, United States	36.1749705 -115.1372223
Sacramento, United States	38.5815719 -121.4944000
Fresno, United States	36.7477272 -119.7723694
Cleveland, United States	41.4994954 -81.6954117
North Kansas City, United States	39.1300040 -94.5621796
Kansas City, United States	39.0997266 -94.5785675
Virginia Beach, United States	36.8529263 -75.9779816
Atlanta, United States	33.7489954 -84.3879852
Oakland, United States	37.8043722 -122.2708054
Mesa, United States	33.4222685 -111.8226395
Tulsa, United States	36.1539816 -95.9927750
Omaha, United States	41.2586096 -95.9377899
Miami, United States	25.7742658 -80.1936569
Honolulu, United States	21.3069444 -157.8583374
Minneapolis, United States	44.9799654 -93.2638397
Colorado Springs, United States	38.8338816 -104.8213654
Wichita, United States	37.6922361 -97.3375473
Santa Ana, United States	33.7455731 -117.8678360
West Raleigh, United States	35.7868182 -78.6638947
Arlington, United States	32.7356870 -97.1080627
Anaheim, United States	33.8352932 -117.9145050
Tampa, United States	27.9475216 -82.4584274
Saint Louis, United States	38.6272733 -90.1978912
Pittsburgh, United States	40.4406248 -79.9958878
Toledo, United States	41.6639383 -83.5552139
Cincinnati, United States	39.1620036 -84.4568863
Riverside, United States	33.9533487 -117.3961563
Bakersfield, United States	35.3732921 -119.0187149
Stockton, United States	37.9577016 -121.2907791
Newark, United States	40.7356570 -74.1723633
Buffalo, United States	42.8864468 -78.8783722
Corpus Christi, United States	27.8005828 -97.3963776
Aurora, United States	39.7294319 -104.8319168
Raleigh, United States	35.7720960 -78.6386108
